2017/6/27,10:10,情報機器概論,1.0,9.0,HTML課題
2017/6/30,8:50,情報表現入門,1.0,0.5,txt
2017/7/2,23:55,VEP,1.0,1.0,WordEngine
2017/7/2,23:55,VEP,1.0,4.0,QuizUnit
2017/7/4,10:10,情報機器概論,1.0,0.5,HTML課題投票
2017/7/7,8:50,情報表現入門,1.0,3.0,プレゼン
2017/7/9,23:55,VEP,1.0,1.0,WordEngine
2017/7/11,3:34,コミュニケーション,1.0,1.0,プレゼンタイトル
2017/7/11,9:0,解析学,1.0,1.0,プリント
2017/7/11,13:10,コミュニケーション,1.0,0.5,アンケート
2017/7/12,8:50,科学技術リテラシ,1.0,5.0,ver 1
2017/7/13,10:30,コミュニケーション,0.0,0.0,3.4.5
2017/7/14,8:30,情報表現入門,1.0,1.5,プレゼン
2017/7/14,20:50,情報表現入門,1.0,23.5,プログラム
2017/7/16,23:55,VEP,1.0,1.5,QuizUnit
2017/7/16,23:55,VEP,1.0,0.5,WordEngine
2017/7/17,12:0,科学技術リテラシ,1.0,0.5,manaba
2017/7/18,10:30,解析学,1.0,0.5,プリント
2017/7/18,13:10,コミュニケーション,1.0,1.0,3.5.5
2017/7/18,23:55,VEP,1.0,0.5,WritingTask 評価
2017/7/19,8:50,科学技術リテラシ,1.0,1.0,レポート印刷
2017/7/20,10:30,コミュニケーション,1.0,1.0,スライド
2017/7/20,13:10,コミュニケーション,1.0,1.0,プレゼン
2017/7/23,23:55,VEP,1.0,0.5,WritingTask 4-3
2017/7/23,23:55,VEP,1.0,1.0,WordEngine
2017/7/23,23:55,VEP,1.0,1.5,QuizUnit
2017/7/25,9:0,解析学,1.0,0.5,プリント
2017/7/25,13:10,コミュニケーション,1.0,0.5,発表準備
2017/7/25,14:50,コミュニケーション,1.0,0.5,発表評価入力
2017/7/26,9:0,科学技術リテラシ,1.0,0.5,アウトランマップ
2017/7/26,9:0,科学技術リテラシ,0.0,0.0,評価シート
2017/7/26,10:30,科学技術リテラシ,0.905,0.0,最終課題%n提出
2017/7/30,23:55,VEP,0.0,0.0,QuizUnit
2017/7/30,23:55,VEP,0.0,0.0,WordEngine
2017/7/31,23:55,コミュニケーション,0.0,0.0,アンケート
2017/8/4,13:10,情報表現入門,0.805,0.0,全体発表
2017/8/6,23:55,VEP,0.0,0.0,QuizUnit
2017/8/16,22:0,科学技術リテラシ,1.0,1.0,予測変換
